logo,title,company,location,min_company_size,max_company_size,type_of_work,requirement,job_level,description,min_work_experience,max_work_experience,qualification,currency,min_salary,max_salary,time,link
https://jobindo.com/mobile/thumbnails/29989560.jpg,mobile programmer,PT ADS KOMUNIKASI INDONESIA,"Jakarta Pusat, DKI Jakarta",0,0,None,persyaratan hands on coding and software design formobileapplications on android and or ios platform self motivated fast learner able to work as individual or team able to work in tight deadline willingness to develop new skills and learn new programming languages as needed experience in java or swift experience in angular or react,None,deskripsi pekerjaan we are looking for someone withmobileapp development experience that has the passion and desire in programming develop new and existing web based and ormobileapps on android platform fresh graduates are welcome to apply,0,2,Sarjana ,None,0,0,20/03/2018 13:36:00,https://jobindo.com/Lowongan-Pekerjaan-mobile-programmer-31285.html
https://jobindo.com/mobile/thumbnails/69536012.jpg,programmer android,PT. Progrestek Abdibhakti Lokakarya,"Jakarta Utara, DKI Jakarta",0,0,None,persyaratan max age 28 years old have can do attitude and passion in programming at least 2 years ofexperience working as android programmer fluent in android java or kotlin skill experienced in rest api development have an understanding of client server architecture capable of using developing api libraries or web service willing to improve self knowledge about new tech and methods have good integrity discipline and communication capable of working in team or individually and of working under pressure have good problem solving skill bug fixing skill and capable of improving performance capable of demonstrating previous portfolio knowledge in using git is a plus knowledge in using php mysql is a plus having an app already published on the google play store is a plus,None,deskripsi pekerjaan developing various applications required by the company or client maintaining and developing the existing applications looking for evaluating implementing the latest technology to improve development efficiency developing apps with good well tested easy to read well documented codes assisting in analyzing the needs of the company or client requirement,0,2,Sarjana ,None,0,0,20/03/2018 13:34:00,https://jobindo.com/Lowongan-Pekerjaan-programmer-android-31281.html
https://jobindo.com/mobile/thumbnails/69536012.jpg,web programmer,PT. Progrestek Abdibhakti Lokakarya,"Jakarta Utara, DKI Jakarta",0,0,None,persyaratan must possess at least diploma or equivalent max age 35 years old creative and proactive at least 3 years of experience working as programmer communicative able to work under pressure multitasking and can work together in teams have the following knowledge and skills oop php mysql javascript css3 html5 lavarel framework css bootsrap framework microsoft word powerpoint excel have can do attitude and passion in programming familiar with modern javascript framework such as nodejs environment angular or reactjs experience in rest api development is a plus have an understanding of client server architecture capable of using developing api libraries willing to learn new things and to adopt good practices capable of working in team or individually and of working under pressure have good problem solving skill bug fixing skill and capable of improving performance capable of demonstrating previous portfolio knowledge in using git is a plus having an app already published on the google play store is a point plus strong understanding in rdbms with mysql compensation and benefits basic salary incentive health insurance development fast tracked career path if candidate is highly potential for leadership position entrepreneurship program,None,deskripsi pekerjaan develop various websites or web application with the following stages conduct review and consultation related to website development or web application develop html mock up develop program code based on project initiation document pid and supporting documents revise program code according to user acceptance test uat develop development manual update the website or web application program code if the program language syntax is no longer functioning deprecated provide training to other programmers in case of handover different programmers maintain and develop existing applications look for evaluate implement the latest technology to improve development efficiency develop apps with good well tested easy to read well documented codes,2,5,Diploma 3 ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-web-programmer-31195.html
https://jobindo.com/mobile/thumbnails/43874153.jpg,accounting staff,PT Avantex Denim Indo,"Bandung, Jawa Barat",0,0,None,persyaratan pria wanita usia 25 35 tahun memiliki background pendidikan minimal d3 majoring ilmu akuntansi pengalaman 3 tahun di bidang yang sama lebih diutamakan,None,deskripsi pekerjaan menyusun dan melaporkan keuangan rutin bulanan dan tahunan melakukan koordinasi dan controlling cash flow untuk memastikan ketersediaan dana operasional dan kesehatan perusahaan melakukan koordinasi dengan divisi divisi lain terkait dengan keperluan data akuntansi,2,5,Sarjana ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-accounting-staff-31174.html
https://jobindo.com/mobile/thumbnails/74934136.jpg,senior web developer,PT. Bintang Mitra Dayasembada,"Tangerang Selatan, Banten",0,0,None,persyaratan laki lakimaksimalumur 35 tahun pendidikan min diploma 3 atau sarjana lebih di utamakan dari tehnik informatika manajemen informatika sistem informatika bidang studi yang relevan berpengalaman dalam posisi yang sama minimal 3tahun berpengalaman menggunakan dan menciptakan web berbasis api berpengalaman dengan php xhtml css java script mysql berpengalaman develop web dengan menggunakan framework laravel codeigniter dll memiliki jiwa kepimpinan dapat menjadi seorang leader memiliki pemahamam satu atau lebih sistem manajemen database relasional utama jujur teliti inovatif dan komunikatif dapat bekerja secara invidual dan team memiliki wawasan yang luas tentang teknologi informasi terkini serius membangun karir serta sanggup bekerja dalam target dan dapat bekerja dibawah tekanan area bekerja di bsd tangerang,None,None,0,2,Sarjana ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-senior-web-developer-31088.html
https://jobindo.com/mobile/thumbnails/24593589.jpg,web developer,PT. Erevna Raya Teknologi,"Jakarta Selatan, DKI Jakarta",0,0,None,persyaratan minimum 1 year experience in web development also accepting fresh grad advantage experience in python experience using git experience in microservices docker knowledge in agile development eager to learn implement new technologies great analytical problem solving skil self organized innovative neat code attention to details creative,None,None,0,2,Sarjana ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-web-developer-31053.html
https://jobindo.com/mobile/thumbnails/28810103.jpg,staf assistant programmer,PT. Cipta Tata Dokumen Indonesia,"Jakarta Selatan, DKI Jakarta",0,0,None,persyaratan pria wanita single belum menikah usia max 28 tahun pendidikan min smk fresh graduated diploma s1 bagi pendidikan smk diutamakan untuk jurusan rekayasa perangkat lunak dan untuk fresh graduated diploma s1 diutamakan jurusan it seperti teknologi informasi manajemen informatika sistem informasi dll fresh graduate berpengalaman di bidangnya ditunjukan dengan bukti apllikasi yang pernah dibuat mampu dan menguasai microsoft access ditunjukan dengan mampu membuat table form query relationship makcro vba coding navigation odbc membuat application sosial media berbasis web base dan menguasai pemograman php microsoft share point my sql java vb net photoshop corel dw berpengalaman dalam membuat aplikasi web based tidak buta warna dan tidak asthma tidak sedang dalam ikatan dinas maupun kontrak dengan perusahaan lain biasa bekerja dengan target long hours dan dalam tekanan ditempatkan di dki jakarta,None,None,0,2,Diploma 3 ,None,0,0,13/03/2018 12:10:00,https://jobindo.com/Lowongan-Pekerjaan-staf-assistant-programmer-31017.html
https://jobindo.com/mobile/thumbnails/15222821.jpg,finance accounting staff,PT. Mitra Insan Sejahtera,"Jakarta Selatan, DKI Jakarta",0,0,None,persyaratan wanita max 26 th min s1 segala jurusan,None,deskripsi pekerjaan melakukan jurnal pembukuan harian dan bulanan memproses semua request yg diajukan user membuat laporan keuangan mencatat cashflow keuangan,0,2,Sarjana ,None,0,0,12/3/2018 17:02,https://jobindo.com/Lowongan-Pekerjaan-finance-accounting-staff-25492.html
https://jobindo.com/mobile/thumbnails/23801133.jpg,finance accounting staff,PT. GENERATOR PASIFIK INDONESIA,"Jakarta Selatan, DKI Jakarta",0,0,None,persyaratan wanita pengalaman min 3 tahun menguasai arus kas laporan keuangan dan perpajakan bisa membuat spt tahunan badan dan pribadi menguasai software accounting zahir accurate domisili jakarta selatan lebih utama memiliki sim a sim c jujur cekatan disiplin dan memiliki referensi dari perusahaan sebelumnya,None,deskripsi pekerjaan menjalankan dan input semua transaksi kas dan bank mengerjakan dan melaporkan spt pajak masa dan tahunan memberikan laporan keuangan untuk direksi dan komisaris,2,5,Diploma 3 ,None,0,0,9/3/2018 16:27,https://jobindo.com/Lowongan-Pekerjaan-finance-accounting-staff-30846.html
https://jobindo.com/mobile/thumbnails/54758077.jpg,bootcamp programmer java net magic developer,PT. Indocyber Global Teknologi,"Jakarta Barat, DKI Jakarta",0,0,None,persyaratan pendidikan minimal d3 teknik informatika sistem informatika managemen informatika ilmu komputer fresh graduate usia maksimal 26 tahun memiliki pasion untuk menjadi programmer bersedia untuk melakukan training selama 3 bulan,None,deskripsi pekerjaan handle project pembuatan aplikasi sofware erp di client,0,0,Diploma 3 ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-bootcamp-programmer-java-30843.html
https://jobindo.com/mobile/thumbnails/54628503.jpg,it programmer,PT. Sinergi Adhikarya Semesta,"Jakarta Barat, DKI Jakarta",0,0,None,persyaratan pria wanita usia maksimal 35thn berpengalaman programming dengan dot net minimal 3 tahun familiar dengan sharepoint memiliki jiwa team worker mampu dan bersedia menghandle project,None,deskripsi pekerjaan memahamikonsep web service bersedia bekerja lembur jika diperlukan memiliki integritas dan ketelitian yang tinggi dalam bekerja memiliki kemampuan berkomunikasi yang baik dan mampu bekerja dalam tim maupun individual,2,5,Sarjana ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-it-programmer-30840.html
https://jobindo.com/mobile/thumbnails/15369923.jpg,accounting staff,PT Pilar Cipta Nusantara,"Tangerang, Banten",0,0,None,persyaratan wanita usia 25 30 tahun pendidikan minimal s 1 akuntansi berpengalaman diposisi yang sama minimal 3 tahun mengerti siklus akuntansi dan laporan keuangan mengerti perpajakan dapat mengoperasikan program dasar akuntansi dapat mengoperasikan program acurate lebih diutamakan mampu mengoperasikan ms office word excell dll ulet disiplin dan bertanggungjawab memiliki loyalitas yg tinggi siap bekerja keras dapat bekerja sama dengan team,None,None,2,5,Sarjana ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-accounting-staff-30778.html
https://jobindo.com/mobile/thumbnails/9476496.jpg,programmer,Yayasan Bhakti Wiyata,"Surabaya, Jawa Timur",0,0,None,persyaratan laki laki perempuan usia maks 30 tahun pendidikan min sma d3 s 1 jurusan teknik informatika pengalaman min 1 tahun dibidang it sebagai programmer berpengalaman dengan web project berbasis php menguasai php javascript html5 css sql jquery mempunyai skill komunikasi yang baik bertanggung jawab jujur disiplin cepat belajar team work mandiri bersedia melakukan perjalanan dinas penempatan surabaya,None,deskripsi pekerjaan membuat kode program web aplication berbasis php html 5,0,2,SLTA/Sederajat ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-programmer-30773.html
https://jobindo.com/mobile/thumbnails/65018485.jpg,back end programmer,CV Alamraya Sebar Barokah,"Surabaya, Jawa Timur",0,0,None,persyaratan laki laki perempuan umur max 30th rajin sholat dan attitude baik pendidikan minimal sma smk jujur dan memiliki komitmen siap bekerja ulet dan telaten siap ditempatkan di surabaya,None,deskripsi pekerjaan memahami framework sudah pernah membuat aplikasi laravel atau ionic lebih diutamakan menguasai ajax dan kemampuan logika yang tinggi menguasai jquery menguasai databes msql posgresql,0,2,SLTA/Sederajat ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-back-end-programmer-30646.html
https://jobindo.com/mobile/thumbnails/65018485.jpg,front end programmer,CV Alamraya Sebar Barokah,"Surabaya, Jawa Timur",0,0,None,persyaratan laki laki perempuan umur mx 30 tahun pendidikan minimal sma smk jujur dan memiliki komitment menguasai javascript html css lebih disukai memiliki pengalaman dalam bidang framework ui mis bootstrap menguasai konsep ajax dan api nilai menguasai framework laravel nilai memiliki semangat dalam konsep seni dan disaign dengan minat untuk mengetahui tren dan tehnik terkini,None,deskripsi pekerjaan membuat web aplikasi sesuai minat klient,0,2,SLTA/Sederajat ,None,0,0,7/3/2018 15:29,https://jobindo.com/Lowongan-Pekerjaan-front-end-programmer-30736.html
https://jobindo.com/mobile/thumbnails/38118425.jpg,programmer,PT Shan Informasi Sistem,"Jakarta Barat, DKI Jakarta",0,0,None,persyaratan pria wanita usia max 35 tahun pend min s1 teknik komputer sistem informasi menguasai bahasa pemograman vb 6 0 vb net c menguasai ms sql server crystal report web programing familiar dengan framework php codeidniter laravel domisili jakarta barat lebih diutamakan,None,deskripsi pekerjaan melaksanakan meningkatkan dan memelihara aplikasi visual basic 6 0 atau vb net menganalisis program dan spesifikasi desain aplikasi yang ditugaskan memonitoring perkembangan web programming bekerja sama dengan team untuk memberikan kualitas aplikasi dan kinerja yang baik dalam batas waktu yang ditentukan memberikan rekomendasi teknologi baru metodologi dan perancangan iterasi untuk meningkatkan inovasi program yang berjalan,0,2,Diploma 3 ,None,0,0,5/3/2018 11:02,https://jobindo.com/Lowongan-Pekerjaan-programmer-30705.html
https://jobindo.com/mobile/thumbnails/20008286.jpg,web developer php,PT Mitra Solusi Jakarta,"Jakarta Utara, DKI Jakarta",0,0,None,persyaratan experienced in development with php and mysql fluent with mvc concept fluent with php framework ci or laravel is a plus familiar with api integration is a plus having experience in developing a website is advantage service minded andgood relationship with internal team good interpersonal good written verbal communication in english ability to work independently with minimal supervision as well as the ability to work effectively in a team environment have great communication skill both verbal and non verbal loyal to company attention to detail able to work under pressure both with team or individually proactive and able to think outside the box fast learner and creative,None,deskripsi pekerjaan produce fully functional program collaborate with internal teams to identify system requirement integrate back end data upgrade and repair existing programs create technical documentation for user support,0,2,Sarjana ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-web-developer-php-30650.html
https://jobindo.com/mobile/thumbnails/47942728.jpg,accounting staff jakarta,PT. Mitra Cipta Hardi Elektrindo,"Jakarta Barat, DKI Jakarta",0,0,None,persyaratan khusus perempuan pendidikan min smk akuntansi usia maks 30 tahun pengalaman sebagai staff accounting min 2 tahun domisili jakarta utara pusat barat yang dekat mudah akses ke hayam wuruk,None,deskripsi pekerjaan menjalankan pembukuan perusahaan membantu manajer accounting menyusun laporan keuangan mengelola transaksi pajak,2,5,SLTA/Sederajat ,None,0,0,1/1/1970 0:00,https://jobindo.com/Lowongan-Pekerjaan-accounting-staff-jakarta-30558.html
https://jobindo.com/mobile/thumbnails/47942728.jpg,accounting staff,PT. Mitra Cipta Hardi Elektrindo,"Jakarta Barat, DKI Jakarta",0,0,None,persyaratan khusus perempuan pendidikan min smk akuntansi usia maks 30 tahun pengalaman sebagai staff accounting min 2 tahun domisili jakarta utara pusat barat yang dekat mudah akses ke hayam wuruk,None,deskripsi pekerjaan menjalankan pembukuan perusahaan membantu manajer accounting menyusun laporan keuangan mengelola transaksi pajak,2,5,SLTA/Sederajat ,None,0,0,1/3/2018 11:29,https://jobindo.com/Lowongan-Pekerjaan-accounting-staff-30496.html
https://jobindo.com/mobile/thumbnails/39634296.jpg,backend developer,PT SOLARNET,"Jakarta Selatan, DKI Jakarta",0,0,None,persyaratan mengerti php language programming mengerti java language programming mengerti bahasa pemrograman lain nilai lebih mengerti administrasi database minimal mysql mengerti implementasi keamanan sistem backend mengerti optimalisasi web dan database service untuk meningkatkan performa dan availability mampu bekerja dalam team pengalaman minimal 1 tahun dibidangnya pria wanita maksimal 27 tahun tunjangan makan parkir bpjskes bpjstk insentif bonus,None,deskripsi pekerjaan membangun aplikaksi komputer berbasis web,0,2,Diploma 3 ,None,0,0,28/02/2018 14:57:00,https://jobindo.com/Lowongan-Pekerjaan-backend-developer-30493.html
https://jobindo.com/mobile/thumbnails/51517554.jpg,electrical engineer,PT. EMBLEM ASIA,"Bekasi, Jawa Barat",0,0,None,persyaratan at least a minimum diploma degree must from the major of electrical engineering from accredited university having knowledge mechanical system in manufacture industry computer literate in using windows ms office and cad s having high integrity accountability and able to work under pressure with good teamwork having good health good communication skills for maintaining good relationship with internal colleagues and external party familiar in handling big project able to speak english fluently ready working in holiday,None,deskripsi pekerjaan to ensure routine preventive maintenance task implemented daily weekly monthly and quarterly to ensure any maintenance breakdown downtime due to maintenance is solves properly to ensure equipment modification in maintenance workshop is done properly to ensure work order request is fulfilled properly,0,2,Diploma 3 ,None,0,0,28/02/2018 11:01:00,https://jobindo.com/Lowongan-Pekerjaan-electrical-engineer-30469.html
https://jobindo.com/mobile/thumbnails/21729818.jpg,programmer,Dodolo Indonesia,"Malang, Jawa Timur",0,0,None,persyaratan usia 18 25 pria wanita punya pengalaman kerja jadi nilai plus muslim menguasai bahasa php html js jquery codeigniter mysql html5 css3 bootstrap mvc oop webdev full stack,None,deskripsi pekerjaan membuat program yang dijalankan untuk perusahaan serta mengautomasikan marketplace ke online otomatisasi,0,2,Diploma 3 ,None,0,0,27/02/2018 13:47:00,https://jobindo.com/Lowongan-Pekerjaan-programmer-30419.html
https://jobindo.com/mobile/thumbnails/15222821.jpg,junior programmer,PT. Mitra Insan Sejahtera,"Jakarta Selatan, DKI Jakarta",0,0,None,persyaratan max 26 th min smk jurusan komputer programmer sistem informasi teknik informatika,None,deskripsi pekerjaan memproses permintaan data dari user setelah mendapat persetujuan dari direksi mengecek apakah cashflow report rutin harian mingguan bulanan sudah jalan sesuai schedulenya atau belum melakukan uji coba terhadap program baru,0,2,SLTA/Sederajat ,None,0,0,27/02/2018 13:20:00,https://jobindo.com/Lowongan-Pekerjaan-junior-programmer-20797.html
https://jobindo.com/mobile/thumbnails/98908374.jpg,software programmer,PT Rekadia Solusi Teknologi,"Bandung, Jawa Barat",0,0,None,persyaratan pendidikan formal yag memadai s1 bersedia ditugaskan di luar kota menguasai algoritma dan logika pemprograman memahami metode best practice dan tool pemodelan pemprograman seperti oop design pattern uml kemampuan membaca dan menerapkan menguasai salah satu atau beberapa bahasa pemprograman popular seperti php c java net untuk web developer perlu juga menguasai html dhtml css javascript dan ajax pemahaman mengenai beberapa framework seperti yii code igniter mvc framework net menjadi nilai tambah memahami rdbms dan sql structured query language menguasai bahasa inggris,None,deskripsi pekerjaan membangun mengembangakan software terutama pada tahap konstruksi dengan melakukan coding dengan bahasa pemograman yang ditentukan mengimplementasikan requirement dan desain proses bisnis ke komputer dengan menggunakan algoritma logika dan bahasa pemograman melakukan testing terhadap software bila diperlukan menyiapkan referensi bagi pengguna dengan menuliskan petunjuk pengoprasian,0,2,Sarjana ,None,0,0,26/02/2018 16:43:00,https://jobindo.com/Lowongan-Pekerjaan-software-programmer-30406.html
https://jobindo.com/mobile/thumbnails/13123493.jpg,web developer malang,GAMEZONE,"Malang, Jawa Timur",0,0,None,persyaratan berpengalaman di bidang relevan tekun dan siap berkomitmen kerja pendidikan min sma sederajat usia max 30th ktp malang menguasai ms office word excel terbiasa menggunakan internet,None,deskripsi pekerjaan mengembangkan website digital marketing,0,2,SLTA/Sederajat ,None,0,0,26/02/2018 13:56:00,https://jobindo.com/Lowongan-Pekerjaan-web-developer-malang-30392.html
https://jobindo.com/mobile/thumbnails/77876364.jpg,programmer it,PT. MULTI MITRA SAKTI,"Tangerang Selatan, Banten",0,0,None,persyaratan s1 dan d3 teknik informatika sistem informasi dan smk atau jurusan yang berhubungan ipk minimal 3 00 skala 4 00 mempunyai passion dalam pemrograman terutama user interface memiliki pengetahuan yang cukup dalam bidang database menguasai mekanisme dasar instalasi dan konfigurasi web base desktop base menguasai dasar dasar jaringan lan maupun wireless wifi mempunyai integritas yang tinggi mempunyai semangat kerja yang gigih disiplin dan mampu dalam teamwork memiliki sikap kerja yang profesional,None,deskripsi pekerjaan mengembangkan aplikasi sesuai dengan rancangan yang telah ditetapkan mencari dan menerapkan algoritma terbaik dalam mengembangkan aplikasi melakukan perbaikan atas aplikasi pemeliharaan aplikasi mendesign struktur database yang diperlukan untuk pengembangan aplikasi,2,5,Sarjana ,None,0,0,24/02/2018 12:18:00,https://jobindo.com/Lowongan-Pekerjaan-programmer-it-30310.html
https://jobindo.com/mobile/thumbnails/15222821.jpg,web programmer,PT. Mitra Insan Sejahtera,"Jakarta Selatan, DKI Jakarta",0,0,None,persyaratan pria wanita max 26 th min diploma teknik informatika sistem informasi pengalaman di bidang it web programming,None,deskripsi pekerjaan memaintenance program program otomatis yang berkaitan dengan web melaksanakan unit testing terhadap program dan atau laporan yang dibuat diperbaiki untuk memastikan bahwa program dan atau laporan tersebut bisa digunakan sesuai spesifikasinya,2,5,Diploma 3 ,None,0,0,23/02/2018 10:55:00,https://jobindo.com/Lowongan-Pekerjaan-web-programmer-29187.html
